source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
2309.15217v2,"Ragas: Automated Evaluation of Retrieval Augmented Generation","Es et al.",2023,Paper,Arxiv,https://arxiv.org/abs/2309.15217,data/raw/2309.15217v2.pdf,,"Ragas","Evaluation"
2310.11511v1,"Self-RAG: Learning to Retrieve, Generate, and Critique","Asai et al.",2023,Paper,Arxiv,https://arxiv.org/abs/2310.11511,data/raw/2310.11511v1.pdf,,"Self-RAG","Framework"
1610.00031v1,Discriminating Similar Languages: Evaluations and Explorations,"Cyril Goutte, Serge Léger, Shervin Malmasi, Marcos Zampieri",2016,Paper,Arxiv,http://arxiv.org/abs/1610.00031v1,data/raw/1610.00031v1.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2307.12114v3,A Zero-shot and Few-shot Study of Instruction-Finetuned Large Language Models Applied to Clinical and Biomedical Tasks,"Yanis Labrak, Mickael Rouvier, Richard Dufour",2023,Paper,Arxiv,http://arxiv.org/abs/2307.12114v3,data/raw/2307.12114v3.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2304.12244v3,WizardLM: Empowering large pre-trained language models to follow complex instructions,"Can Xu, Qingfeng Sun, Kai Zheng, Xiubo Geng, Pu Zhao, Jiazhan Feng, Chongyang Tao, Qingwei Lin, Daxin Jiang",2023,Paper,Arxiv,http://arxiv.org/abs/2304.12244v3,data/raw/2304.12244v3.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2402.11651v2,Learning From Failure: Integrating Negative Examples when Fine-tuning Large Language Models as Agents,"Renxi Wang, Haonan Li, Xudong Han, Yixuan Zhang, Timothy Baldwin",2024,Paper,Arxiv,http://arxiv.org/abs/2402.11651v2,data/raw/2402.11651v2.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2312.10793v3,Demystifying Instruction Mixing for Fine-tuning Large Language Models,"Renxi Wang, Haonan Li, Minghao Wu, Yuxia Wang, Xudong Han, Chiyu Zhang, Timothy Baldwin",2023,Paper,Arxiv,http://arxiv.org/abs/2312.10793v3,data/raw/2312.10793v3.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2306.09265v1,LVLM-eHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models,"Peng Xu, Wenqi Shao, Kaipeng Zhang, Peng Gao, Shuo Liu, Meng Lei, Fanqing Meng, Siyuan Huang, Yu Qiao, Ping Luo",2023,Paper,Arxiv,http://arxiv.org/abs/2306.09265v1,data/raw/2306.09265v1.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2306.13394v5,MME: A Comprehensive Evaluation Benchmark for Multimodal Large Language Models,"Chaoyou Fu, Peixian Chen, Yunhang Shen, Yulei Qin, Mengdan Zhang, Xu Lin, Jinrui Yang, Xiawu Zheng, Ke Li, Xing Sun, Yunsheng Wu, Rongrong Ji, Caifeng Shan, Ran He",2023,Paper,Arxiv,http://arxiv.org/abs/2306.13394v5,data/raw/2306.13394v5.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
2409.11353v3,THaMES: An End-to-End Tool for Hallucination Mitigation and Evaluation in Large Language Models,"Mengfei Liang, Archish Arun, Zekun Wu, Cristian Munoz, Jonathan Lutch, Emre Kazim, Adriano Koshiyama, Philip Treleaven",2024,Paper,Arxiv,http://arxiv.org/abs/2409.11353v3,data/raw/2409.11353v3.pdf,,"RAG, Evaluation, Automated",Fetched from Arxiv based on query.
